"Prefer","ThoughtAbout","CareAbout","Gender","Age","Household.Income","Education","Location"
"Plural","Yes","Some","Female","> 60","$50,000 - $99,999","Bachelor degree","Pacific"
"Singular","Yes","Not much","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West North Central"
"Plural","No","A lot","Male","> 60","$50,000 - $99,999","Bachelor degree","West South Central"
"","","","","","","",""
"Singular","Yes","Some","Female","18-29","$100,000 - $149,999","Bachelor degree","West South Central"
"Singular","Yes","Some","Male","45-60","$150,000+","Bachelor degree","New England"
"Singular","No","Not at all","Male","> 60","$150,000+","Bachelor degree","Pacific"
"Singular","Yes","Some","Female","30-44","","Some college or Associate degree","East North Central"
"Singular","No","Not much","Male","45-60","$100,000 - $149,999","Bachelor degree","East North Central"
"Singular","No","Some","Male","30-44","$25,000 - $49,999","High school degree","Middle Atlantic"
"Singular","No","Not at all","Male","30-44","$25,000 - $49,999","Bachelor degree","West North Central"
"Singular","No","Not much","Male","30-44","$100,000 - $149,999","Graduate degree","New England"
"Plural","No","Not at all","Male","> 60","$50,000 - $99,999","Graduate degree","Pacific"
"Singular","Yes","Not much","Female","18-29","$25,000 - $49,999","Some college or Associate degree","Pacific"
"Singular","Yes","Some","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Not much","Male","45-60","$100,000 - $149,999","Graduate degree","West South Central"
"Singular","No","A lot","Female","> 60","$25,000 - $49,999","Graduate degree","Pacific"
"Singular","No","Not much","Male","30-44","$50,000 - $99,999","Bachelor degree","New England"
"Singular","No","Not much","Female","30-44","$25,000 - $49,999","Some college or Associate degree","East South Central"
"Singular","Yes","Some","Male","> 60","$50,000 - $99,999","Graduate degree","Pacific"
"Singular","No","Not much","Female","> 60","","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","A lot","Female","> 60","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"Singular","Yes","Not much","Female","> 60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"Singular","No","Not much","Male","> 60","$50,000 - $99,999","Graduate degree","East North Central"
"","No","Some","Male","> 60","$100,000 - $149,999","Bachelor degree","Pacific"
"Singular","Yes","Some","Female","30-44","$50,000 - $99,999","Some college or Associate degree","West North Central"
"Plural","No","A lot","Female","45-60","","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Not at all","Male","45-60","$50,000 - $99,999","Graduate degree","Pacific"
"Singular","No","Not at all","Female","45-60","$100,000 - $149,999","Bachelor degree","East North Central"
"Plural","Yes","Not at all","Male","45-60","$150,000+","Bachelor degree","West South Central"
"Singular","No","Not much","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
"Plural","Yes","Some","Female","> 60","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"Singular","Yes","Some","Female","45-60","$50,000 - $99,999","High school degree","East North Central"
"Plural","Yes","Not much","Male","> 60","$25,000 - $49,999","Graduate degree","West North Central"
"Singular","Yes","Not much","Female","> 60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"Singular","No","Some","Female","45-60","$50,000 - $99,999","Bachelor degree","Pacific"
"Singular","No","Not much","Female","45-60","$100,000 - $149,999","High school degree","East North Central"
"Singular","No","Some","Female","45-60","$25,000 - $49,999","Some college or Associate degree","West North Central"
"Singular","Yes","Not much","Female","> 60","","Graduate degree","East North Central"
"Singular","No","Not at all","Female","30-44","","Bachelor degree","Middle Atlantic"
"Singular","Yes","Some","Female","45-60","$50,000 - $99,999","Graduate degree","Pacific"
"Singular","No","Not at all","Male","30-44","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"Plural","Yes","A lot","Female","45-60","","Bachelor degree","Middle Atlantic"
"Singular","Yes","Not much","Female","45-60","$25,000 - $49,999","Graduate degree","East North Central"
"Singular","No","Not at all","Female","30-44","$0 - $24,999","Bachelor degree","Mountain"
"Plural","Yes","Some","Male","45-60","$50,000 - $99,999","Bachelor degree","West North Central"
"Singular","Yes","Some","Female","> 60","","Bachelor degree","Middle Atlantic"
"Singular","Yes","Some","Female","45-60","$150,000+","Graduate degree","Middle Atlantic"
"Singular","Yes","Not at all","Male","30-44","$50,000 - $99,999","Bachelor degree","West North Central"
"","","","","","","",""
"Singular","No","Not much","Female","30-44","$0 - $24,999","Graduate degree","West South Central"
"Singular","No","Some","Female","30-44","$50,000 - $99,999","Bachelor degree","East North Central"
"Singular","No","Not much","Female","45-60","$0 - $24,999","Some college or Associate degree","Pacific"
"Plural","Yes","Some","Male","18-29","$0 - $24,999","Graduate degree","West North Central"
"Plural","No","Not much","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
"Plural","No","Some","Male","45-60","$150,000+","Graduate degree","New England"
"Plural","No","Some","Female","> 60","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Some","Female","45-60","","Bachelor degree","South Atlantic"
"Singular","Yes","Not much","Female","45-60","$100,000 - $149,999","Graduate degree","West South Central"
"Singular","No","Not much","Male","> 60","$50,000 - $99,999","High school degree","East North Central"
"Singular","Yes","Not at all","Male","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"Singular","No","Not much","Female","> 60","","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Some","Male","> 60","","Some college or Associate degree","East North Central"
"Singular","Yes","Some","Female","18-29","$100,000 - $149,999","Bachelor degree","East South Central"
"Singular","Yes","Not much","Male","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"Singular","Yes","Not much","Female","> 60","$0 - $24,999","Bachelor degree","South Atlantic"
"Singular","No","Not at all","Male","> 60","$150,000+","Graduate degree","East South Central"
"Singular","No","Not much","Male","> 60","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Not much","Female","45-60","$0 - $24,999","Some college or Associate degree","West North Central"
"Plural","Yes","Not much","","","","",""
"Singular","Yes","Some","Female","30-44","$25,000 - $49,999","Bachelor degree","Mountain"
"Singular","No","Some","Female","> 60","$25,000 - $49,999","High school degree","Middle Atlantic"
"Singular","Yes","Not much","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"Singular","Yes","Some","Female","45-60","$50,000 - $99,999","Graduate degree","East North Central"
"Singular","Yes","Some","Female","45-60","$50,000 - $99,999","Bachelor degree","Pacific"
"Singular","No","Not at all","Male","18-29","$0 - $24,999","Some college or Associate degree","Mountain"
"Singular","No","Some","Male","30-44","$0 - $24,999","Bachelor degree","West North Central"
"Singular","Yes","Some","Male","> 60","$0 - $24,999","Graduate degree","East North Central"
"Singular","No","Not much","Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"Plural","Yes","Not at all","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Pacific"
"Plural","Yes","Not at all","Female","> 60","$50,000 - $99,999","Graduate degree","South Atlantic"
"Singular","No","Some","Female","30-44","$25,000 - $49,999","Bachelor degree","Pacific"
"Plural","Yes","Some","Male","18-29","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"Singular","Yes","Not much","Female","30-44","$25,000 - $49,999","Some college or Associate degree","East North Central"
"Plural","Yes","Some","Female","> 60","$25,000 - $49,999","Bachelor degree","Pacific"
"Singular","Yes","Not much","Male","45-60","","Bachelor degree","Pacific"
"Singular","No","Not at all","Male","> 60","$150,000+","Bachelor degree","Middle Atlantic"
"Singular","No","Not at all","Female","45-60","$150,000+","Graduate degree","West South Central"
"Plural","No","Not at all","Male","18-29","","Less than high school degree","East North Central"
"Singular","Yes","Some","Male","> 60","$100,000 - $149,999","Bachelor degree","Pacific"
"Singular","Yes","Some","Female","30-44","$50,000 - $99,999","Bachelor degree","West North Central"
"Singular","No","Not much","Female","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"Singular","Yes","A lot","Female","> 60","$100,000 - $149,999","Graduate degree","West North Central"
"Singular","No","A lot","Female","> 60","","Some college or Associate degree","East North Central"
"Singular","Yes","Not at all","Female","45-60","$150,000+","Graduate degree","West South Central"
"Singular","No","Not at all","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central"
"Singular","Yes","A lot","Female","45-60","$150,000+","Graduate degree","Mountain"
"Plural","Yes","Not much","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
"Singular","Yes","Not much","Female","> 60","$0 - $24,999","Graduate degree","East North Central"
"Plural","No","A lot","","","","",""
"Plural","No","Some","Female","45-60","$150,000+","Bachelor degree","East North Central"
"Singular","No","Not much","Female","> 60","$0 - $24,999","Less than high school degree","South Atlantic"
"Singular","Yes","Some","Female","45-60","$150,000+","Bachelor degree","West North Central"
"Plural","Yes","Some","Male","30-44","$0 - $24,999","High school degree","East North Central"
"Singular","No","Some","Female","> 60","","Some college or Associate degree","East South Central"
"Plural","No","A lot","Male","> 60","$150,000+","Graduate degree","West South Central"
"","","","","","","",""
"Singular","No","Not much","Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"Singular","Yes","Not much","Female","18-29","$0 - $24,999","Graduate degree","East North Central"
"Singular","Yes","Some","Male","18-29","$0 - $24,999","High school degree","East North Central"
"Singular","No","Not much","Male","30-44","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"Singular","Yes","Some","Male","30-44","$50,000 - $99,999","Bachelor degree","Pacific"
"Singular","No","Not much","","","","",""
"Singular","No","Not at all","Male","> 60","$150,000+","Bachelor degree","East North Central"
"Singular","No","Not much","Female","> 60","$50,000 - $99,999","Graduate degree","Pacific"
"Plural","Yes","A lot","Male","30-44","","Bachelor degree","Pacific"
"Singular","Yes","A lot","Female","45-60","$100,000 - $149,999","Bachelor degree","East North Central"
"Singular","Yes","Not much","Female","45-60","$150,000+","Some college or Associate degree","West North Central"
"Singular","No","Not at all","Male","> 60","","Graduate degree","Mountain"
"Singular","No","Not at all","Female","30-44","","High school degree","Middle Atlantic"
"Singular","No","Not at all","Male","45-60","$150,000+","Graduate degree","New England"
"Singular","No","Not much","Female","> 60","$100,000 - $149,999","Some college or Associate degree","New England"
"Singular","No","Some","Female","45-60","$150,000+","Bachelor degree","West South Central"
"Singular","No","Not much","Male","> 60","$150,000+","Bachelor degree","South Atlantic"
"Singular","No","Not at all","Female","30-44","$150,000+","Bachelor degree","Pacific"
"Singular","Yes","Not at all","Female","45-60","$50,000 - $99,999","Graduate degree","East North Central"
"Singular","Yes","Some","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Some","Female","45-60","$50,000 - $99,999","Graduate degree","South Atlantic"
"Singular","No","Some","Female","45-60","$150,000+","Bachelor degree","West North Central"
"Singular","No","Not much","Female","> 60","$50,000 - $99,999","Bachelor degree","East North Central"
"Singular","No","Not much","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"Singular","Yes","Some","Female","30-44","$100,000 - $149,999","Graduate degree","South Atlantic"
"Singular","No","Not much","Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"Singular","No","A lot","Female","> 60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"Singular","Yes","Some","Female","> 60","$50,000 - $99,999","Graduate degree","Mountain"
"Singular","No","Some","","","","",""
"Plural","Yes","A lot","Male","45-60","$50,000 - $99,999","High school degree","East North Central"
"Singular","No","Not at all","Male","30-44","","Graduate degree","West South Central"
"Singular","No","Not much","Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"Plural","Yes","Not much","Male","30-44","$50,000 - $99,999","Graduate degree","South Atlantic"
"Singular","Yes","Some","Male","18-29","$25,000 - $49,999","High school degree","South Atlantic"
"Singular","No","Not much","Male","45-60","","","Pacific"
"Singular","Yes","A lot","Female","45-60","","Some college or Associate degree","South Atlantic"
"Plural","Yes","Not at all","Male","30-44","","Some college or Associate degree","South Atlantic"
"Singular","Yes","Not much","Female","> 60","$100,000 - $149,999","Graduate degree","South Atlantic"
"Singular","Yes","Some","Female","> 60","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"Singular","No","Not much","","","","",""
"Singular","Yes","Some","Male","> 60","$100,000 - $149,999","Graduate degree","Pacific"
"Singular","Yes","A lot","Male","18-29","$150,000+","Bachelor degree","Middle Atlantic"
"Singular","Yes","Not at all","Male","30-44","$0 - $24,999","Graduate degree","West North Central"
"Singular","No","Not much","Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"Singular","Yes","Some","Male","45-60","$50,000 - $99,999","Bachelor degree","Pacific"
"Plural","Yes","Not much","Male","45-60","$150,000+","Graduate degree","Pacific"
"Singular","No","Not at all","Female","45-60","$25,000 - $49,999","High school degree","West North Central"
"Singular","Yes","Not at all","Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"Singular","No","Not much","","","","",""
"Singular","No","Not at all","Female","30-44","$100,000 - $149,999","Bachelor degree","New England"
"Singular","No","Not at all","Female","18-29","$0 - $24,999","Some college or Associate degree","New England"
"Singular","Yes","Some","Male","18-29","$25,000 - $49,999","Bachelor degree","East South Central"
"Singular","Yes","Not much","Female","45-60","$50,000 - $99,999","Graduate degree","Mountain"
"Singular","Yes","Some","Male","30-44","","Graduate degree","Mountain"
"Singular","No","Not much","Female","45-60","$50,000 - $99,999","Some college or Associate degree","New England"
"Singular","Yes","Some","Male","> 60","","Graduate degree","Middle Atlantic"
"Singular","No","Not at all","Male","> 60","","Graduate degree","New England"
"Singular","No","Not at all","Male","18-29","$50,000 - $99,999","Bachelor degree","South Atlantic"
"Singular","No","Not much","Female","45-60","$100,000 - $149,999","Graduate degree","South Atlantic"
"Singular","Yes","Not much","Female","> 60","","Graduate degree","East North Central"
"Singular","Yes","Some","Male","45-60","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Some","Male","45-60","$100,000 - $149,999","Some college or Associate degree","East North Central"
"Plural","Yes","Not much","Male","45-60","$150,000+","Some college or Associate degree","South Atlantic"
"Plural","Yes","Not much","Male","30-44","$100,000 - $149,999","Graduate degree","Mountain"
"Singular","No","Not much","Male","45-60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"Singular","No","Not much","Female","45-60","$0 - $24,999","Some college or Associate degree","New England"
"Singular","No","Some","Male","45-60","$150,000+","High school degree","South Atlantic"
"Singular","No","Some","Female","18-29","$25,000 - $49,999","Less than high school degree","New England"
"Plural","Yes","Some","Female","18-29","$50,000 - $99,999","Graduate degree","East North Central"
"Singular","Yes","Some","Male","> 60","$150,000+","Bachelor degree","Pacific"
"Singular","No","Not much","Female","45-60","$25,000 - $49,999","Bachelor degree","Pacific"
"Plural","Yes","Not much","Male","45-60","$150,000+","Graduate degree","East North Central"
"Singular","No","Not at all","Female","30-44","$0 - $24,999","Some college or Associate degree","West North Central"
"Singular","Yes","Some","Female","30-44","$150,000+","Bachelor degree","East North Central"
"Singular","No","Not much","Female","30-44","$50,000 - $99,999","Bachelor degree","East North Central"
"Singular","Yes","Some","Female","45-60","$100,000 - $149,999","Graduate degree","New England"
"Singular","No","Not at all","Female","30-44","$100,000 - $149,999","High school degree","Middle Atlantic"
"Singular","Yes","Some","Female","45-60","$25,000 - $49,999","Bachelor degree","Pacific"
"Singular","Yes","Some","Male","45-60","","Bachelor degree","South Atlantic"
"Singular","Yes","Some","Male","> 60","$150,000+","Graduate degree","Middle Atlantic"
"Singular","Yes","Some","Male","45-60","$100,000 - $149,999","Some college or Associate degree","East North Central"
"Plural","Yes","A lot","Female","30-44","$100,000 - $149,999","Graduate degree","New England"
"Singular","No","Not much","Female","> 60","$100,000 - $149,999","Bachelor degree","Middle Atlantic"
"Singular","Yes","Not much","Female","30-44","$150,000+","Bachelor degree","Middle Atlantic"
"Singular","No","Not at all","Female","18-29","$50,000 - $99,999","Bachelor degree","East North Central"
"Singular","No","Not at all","Female","45-60","$50,000 - $99,999","Bachelor degree","West North Central"
"Singular","No","Not much","Female","18-29","$100,000 - $149,999","Graduate degree","East North Central"
"Singular","No","Not at all","Male","> 60","","Graduate degree",""
"Singular","No","Not much","Female","30-44","$50,000 - $99,999","High school degree","East North Central"
"Singular","Yes","Not much","Female","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic"
"Singular","Yes","Some","Female","18-29","$100,000 - $149,999","Bachelor degree","South Atlantic"
"Singular","Yes","Not at all","Female","> 60","","Some college or Associate degree","Middle Atlantic"
"Singular","No","Not much","Female","30-44","$100,000 - $149,999","Bachelor degree","East South Central"
"Singular","Yes","Some","Male","> 60","$0 - $24,999","Some college or Associate degree","New England"
"Singular","No","Not much","Male","45-60","$25,000 - $49,999","High school degree","South Atlantic"
"Singular","Yes","Not much","Female","> 60","$100,000 - $149,999","Graduate degree","Mountain"
"Singular","No","Not at all","Male","> 60","","Bachelor degree","Middle Atlantic"
"Plural","Yes","Some","Female","18-29","$0 - $24,999","Some college or Associate degree","South Atlantic"
"Singular","Yes","Not much","Male","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"Singular","No","Not much","Female","> 60","$150,000+","Graduate degree","Middle Atlantic"
"","","","","","","",""
"Singular","Yes","Not much","Female","> 60","","Graduate degree","East North Central"
"Singular","Yes","A lot","Male","> 60","","Bachelor degree","Middle Atlantic"
"Plural","Yes","Not much","Female","45-60","$150,000+","Bachelor degree","Pacific"
"Singular","No","Not at all","Male","18-29","","Some college or Associate degree","West South Central"
"Singular","Yes","Some","Male","45-60","$25,000 - $49,999","Bachelor degree","Pacific"
"Singular","Yes","Not at all","Male","18-29","","High school degree","South Atlantic"
"Plural","No","Not at all","Female","45-60","$150,000+","Graduate degree","Pacific"
"Singular","Yes","Some","Male","18-29","","Bachelor degree","West South Central"
"Plural","Yes","Not much","Female","30-44","$150,000+","Bachelor degree","East North Central"
"Singular","Yes","Not much","Female","18-29","","Some college or Associate degree","Pacific"
"Singular","No","Some","Female","30-44","$0 - $24,999","Graduate degree","Pacific"
"Plural","","","","","","",""
"Singular","No","Not much","Male","18-29","$25,000 - $49,999","Bachelor degree","Pacific"
"Plural","Yes","Some","Female","> 60","$0 - $24,999","Graduate degree","South Atlantic"
"Singular","Yes","Some","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
"Singular","Yes","Some","Female","18-29","","Some college or Associate degree","Pacific"
"Singular","No","Not much","Female","30-44","$0 - $24,999","High school degree","West South Central"
"Singular","Yes","Some","Male","45-60","$0 - $24,999","Bachelor degree","South Atlantic"
"Singular","Yes","Some","Female","30-44","","Bachelor degree","South Atlantic"
"Singular","No","Not much","Female","18-29","","Some college or Associate degree","West North Central"
"Singular","No","Not much","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"Plural","No","Not at all","Male","45-60","$100,000 - $149,999","Graduate degree","Pacific"
"Singular","Yes","Not much","Male","18-29","$0 - $24,999","Graduate degree","Pacific"
"Singular","Yes","Not much","Female","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
"Plural","Yes","Not much","Female","30-44","$100,000 - $149,999","Graduate degree","Pacific"
"Plural","Yes","Some","Female","45-60","$50,000 - $99,999","Bachelor degree","Pacific"
"Singular","No","Not at all","Male","> 60","","Some college or Associate degree","Mountain"
"Singular","Yes","Some","Female","18-29","$0 - $24,999","Some college or Associate degree","East South Central"
"Singular","No","Not much","Male","45-60","$100,000 - $149,999","Bachelor degree","Pacific"
"Plural","Yes","Some","Male","45-60","$50,000 - $99,999","Bachelor degree","Mountain"
"Plural","No","A lot","Female","> 60","$25,000 - $49,999","Graduate degree","Pacific"
"Singular","No","Not much","Female","> 60","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"Plural","Yes","Some","Female","30-44","","Bachelor degree","West North Central"
"Plural","Yes","Some","Female","45-60","","Graduate degree","Mountain"
"Singular","Yes","Not much","Female","18-29","$25,000 - $49,999","Bachelor degree","West North Central"
"Singular","No","Not at all","Male","18-29","$100,000 - $149,999","Bachelor degree","Mountain"
"Singular","Yes","Not much","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"Singular","Yes","A lot","","","","",""
"Singular","Yes","A lot","Female","> 60","$50,000 - $99,999","Graduate degree","Pacific"
"Singular","Yes","Some","Female","18-29","$100,000 - $149,999","Some college or Associate degree","East North Central"
"Singular","No","Not at all","Female","30-44","$25,000 - $49,999","Some college or Associate degree","East North Central"
"Singular","No","Not at all","Female","18-29","","Graduate degree","West South Central"
"Singular","Yes","Not much","Female","18-29","$0 - $24,999","Bachelor degree","New England"
"Singular","Yes","Some","Female","30-44","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"Singular","No","Not at all","Female","18-29","$150,000+","Bachelor degree","West North Central"
"Plural","No","A lot","Male","45-60","$100,000 - $149,999","Some college or Associate degree","Pacific"
"Singular","No","Not at all","Female","18-29","$50,000 - $99,999","Bachelor degree","East North Central"
"Singular","No","Not much","Female","18-29","$25,000 - $49,999","Bachelor degree","South Atlantic"
"Plural","Yes","Some","Male","18-29","$0 - $24,999","Bachelor degree","Middle Atlantic"
"Singular","Yes","Not much","Female","18-29","$0 - $24,999","Bachelor degree","Middle Atlantic"
"Singular","No","Not at all","Male","> 60","$100,000 - $149,999","Some college or Associate degree","West South Central"
"Singular","No","Not much","Female","30-44","$25,000 - $49,999","Bachelor degree","New England"
"Singular","Yes","Not much","Male","> 60","$100,000 - $149,999","Graduate degree","East South Central"
"Singular","Yes","Some","Female","45-60","$25,000 - $49,999","Graduate degree","New England"
"Singular","No","Not much","Female","30-44","$25,000 - $49,999","Bachelor degree","West North Central"
"Plural","Yes","Some","Male","18-29","$25,000 - $49,999","High school degree","Mountain"
"Singular","No","Some","Male","30-44","$25,000 - $49,999","Graduate degree","New England"
"Singular","Yes","Not at all","Female","30-44","$50,000 - $99,999","Bachelor degree","Pacific"
"Plural","No","Not much","Female","18-29","","High school degree","West North Central"
"Singular","No","Not much","Female","18-29","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"Singular","No","Not at all","Female","30-44","","Some college or Associate degree","East North Central"
"Singular","Yes","Not much","Female","45-60","","Some college or Associate degree","Pacific"
"Singular","Yes","A lot","Female","18-29","$25,000 - $49,999","Some college or Associate degree","Mountain"
"Singular","Yes","Some","Female","45-60","$100,000 - $149,999","Bachelor degree","West South Central"
"Singular","No","Some","Female","18-29","$150,000+","High school degree","West South Central"
"Plural","No","Not at all","Male","> 60","$150,000+","Bachelor degree","South Atlantic"
"Singular","Yes","Not at all","Male","30-44","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"Singular","No","Not at all","Female","30-44","$50,000 - $99,999","Graduate degree","South Atlantic"
"Singular","No","Not much","Male","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"Singular","Yes","Some","Female","30-44","$25,000 - $49,999","Bachelor degree","Pacific"
"Singular","No","Not much","","","","",""
"Plural","Yes","A lot","Female","30-44","","Graduate degree","Pacific"
"Singular","No","Not much","Female","30-44","$25,000 - $49,999","Graduate degree","East North Central"
"Singular","No","Not at all","Female","45-60","$150,000+","Some college or Associate degree","East North Central"
"Singular","Yes","Not much","Female","18-29","$25,000 - $49,999","Bachelor degree","Pacific"
"Singular","Yes","A lot","Female","45-60","$100,000 - $149,999","Graduate degree","South Atlantic"
"Singular","Yes","Not at all","Female","30-44","$25,000 - $49,999","Bachelor degree","South Atlantic"
"Singular","No","Some","Female","45-60","","Bachelor degree","East North Central"
"Singular","Yes","Not at all","Female","45-60","","Graduate degree","East North Central"
"Singular","Yes","Some","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"Singular","No","Not at all","Male","> 60","$25,000 - $49,999","High school degree","East North Central"
"Singular","No","Not at all","Female","18-29","","Some college or Associate degree","Middle Atlantic"
"Singular","No","Not much","Female","30-44","","Some college or Associate degree","South Atlantic"
"Singular","No","Not much","Female","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central"
"Singular","Yes","Not much","Female","18-29","$150,000+","Some college or Associate degree","Pacific"
"Singular","No","Not much","Female","30-44","$50,000 - $99,999","Graduate degree","West North Central"
"Plural","Yes","A lot","Female","18-29","","Bachelor degree","East North Central"
"","","","","","","",""
"Singular","No","Some","Female","18-29","$0 - $24,999","Some college or Associate degree","West North Central"
"Singular","No","Not at all","Female","18-29","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"Singular","No","Some","Male","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"Singular","Yes","A lot","Female","18-29","$50,000 - $99,999","High school degree","South Atlantic"
"Singular","Yes","A lot","Female","> 60","$25,000 - $49,999","High school degree","South Atlantic"
"Singular","Yes","Some","Female","> 60","$25,000 - $49,999","Some college or Associate degree","West South Central"
"Plural","No","Not much","Male","18-29","$0 - $24,999","Bachelor degree","East North Central"
"Singular","Yes","Not much","Female","30-44","$50,000 - $99,999","Bachelor degree","West South Central"
"Plural","Yes","Some","Female","> 60","$25,000 - $49,999","Graduate degree","Pacific"
"Singular","Yes","Some","Female","30-44","$50,000 - $99,999","Bachelor degree","Pacific"
"Plural","Yes","Some","Male","> 60","$100,000 - $149,999","Bachelor degree","West South Central"
"Plural","Yes","Some","Male","45-60","$0 - $24,999","Bachelor degree",""
"Singular","No","Not at all","Female","18-29","$0 - $24,999","Less than high school degree","East North Central"
"Singular","Yes","Not much","Female","18-29","$0 - $24,999","High school degree","South Atlantic"
"","","","","","","",""
"Singular","No","Not at all","Male","> 60","$100,000 - $149,999","Some college or Associate degree",""
"Singular","No","Not much","","","","",""
"Singular","Yes","Not much","Male","30-44","$100,000 - $149,999","Graduate degree","New England"
"Plural","Yes","A lot","Female","> 60","","Graduate degree","East North Central"
"Plural","Yes","Some","Female","45-60","$50,000 - $99,999","Some college or Associate degree",""
"Singular","No","Not much","Female","30-44","$25,000 - $49,999","High school degree","East North Central"
"Singular","No","Not at all","Female","45-60","$150,000+","Bachelor degree","East North Central"
"Singular","No","Not much","Male","> 60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"Singular","No","Not much","","","","",""
"Plural","No","Some","Female","18-29","","Bachelor degree","East North Central"
"Plural","No","Some","Male","45-60","","Some college or Associate degree","West South Central"
"Plural","Yes","Some","Female","45-60","","Bachelor degree","Pacific"
"Plural","Yes","Some","Female","18-29","$0 - $24,999","Bachelor degree","Middle Atlantic"
"Plural","Yes","Some","Female","45-60","","Graduate degree","Pacific"
"Singular","No","Not at all","Male","30-44","$150,000+","High school degree","East South Central"
"Singular","No","Not at all","Female","18-29","","Some college or Associate degree","East North Central"
"Singular","Yes","Some","Male","> 60","$25,000 - $49,999","Bachelor degree","West South Central"
"Singular","No","Not at all","Female","45-60","$100,000 - $149,999","Graduate degree","East North Central"
"Singular","No","Not much","Male","18-29","$50,000 - $99,999","High school degree","Pacific"
"Singular","No","Not at all","Female","> 60","$25,000 - $49,999","Some college or Associate degree","Pacific"
"Plural","Yes","Some","Female","45-60","","Bachelor degree","New England"
"Singular","No","Not at all","Female","18-29","$0 - $24,999","High school degree","West North Central"
"Singular","Yes","Not at all","Female","30-44","","Graduate degree","Middle Atlantic"
"Plural","Yes","Some","Female","45-60","$50,000 - $99,999","Graduate degree","South Atlantic"
"Plural","Yes","A lot","Male","30-44","$25,000 - $49,999","Graduate degree","West South Central"
"Plural","Yes","Some","Male","> 60","","Graduate degree","New England"
"Singular","Yes","Not much","Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"Singular","Yes","Some","","","","",""
"Singular","Yes","Some","Female","45-60","$150,000+","Graduate degree","Middle Atlantic"
"Plural","No","Some","Male","45-60","$25,000 - $49,999","High school degree","East North Central"
"Singular","Yes","Not much","Female","18-29","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"Plural","No","A lot","Female","45-60","$100,000 - $149,999","Graduate degree","East North Central"
"Singular","No","Not much","Female","18-29","$0 - $24,999","Bachelor degree","East North Central"
"Singular","Yes","Some","Male","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"Singular","Yes","Some","","","","",""
